                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0495,                 2.7728,                 1.3673,                0.43944,                0.20335,                0.32278,                 0.2172,                 1.1102,                 3.0952,                 1.4915,              0.0003636,              0.0003636,              0.0003636
                      2,                  1.162,                 2.2293,                 1.4415,                0.41956,                0.50559,                0.42573,                0.29109,                 1.2713,                 2.4796,                 1.6596,             0.00073151,             0.00073151,             0.00073151
                      3,                  1.163,                  2.118,                 1.4387,                0.46838,                0.29416,                 0.3111,                0.18413,                 1.5088,                 2.9564,                 1.9613,               0.001097,               0.001097,               0.001097
                      4,                 1.2078,                 2.0938,                 1.4764,                0.41242,                0.26463,                0.23372,                0.11797,                 1.7613,                  3.627,                  2.123,                 0.0011,                 0.0011,                 0.0011
                      5,                 1.1979,                 1.9907,                  1.467,                0.33668,                0.36364,                0.31955,                 0.1516,                 1.6648,                 2.6719,                 2.0575,                 0.0011,                 0.0011,                 0.0011
                      6,                 1.2016,                 1.9194,                 1.4727,                0.51713,                0.39382,                0.43806,                0.26558,                 1.5357,                 2.2217,                 1.8598,              0.0010963,              0.0010963,              0.0010963
                      7,                 1.1739,                  1.795,                 1.4319,                0.39281,                0.43452,                0.37061,                0.21766,                 1.4829,                 2.4739,                  1.885,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.1466,                 1.7552,                 1.4452,                0.31395,                0.40534,                0.29479,                0.16614,                 1.6098,                 2.6765,                 2.0392,               0.001089,               0.001089,               0.001089
                      9,                 1.1284,                 1.7038,                 1.4255,                0.59157,                 0.3996,                0.43834,                0.27351,                 1.4276,                 2.2372,                  1.788,              0.0010853,              0.0010853,              0.0010853
                     10,                 1.1418,                 1.6619,                 1.4124,                  0.537,                0.44022,                0.42565,                0.24866,                 1.4666,                 2.2347,                 1.7981,              0.0010817,              0.0010817,              0.0010817
                     11,                  1.108,                 1.5813,                 1.3885,                0.43857,                0.42412,                0.43144,                0.26896,                 1.4604,                 2.1222,                 1.8249,               0.001078,               0.001078,               0.001078
                     12,                 1.0731,                 1.5057,                  1.369,                 0.6222,                0.45945,                0.52166,                0.31964,                 1.4164,                  1.917,                 1.8326,              0.0010743,              0.0010743,              0.0010743
                     13,                 1.0228,                 1.4175,                 1.3335,                0.49339,                0.42464,                0.43985,                0.28634,                  1.377,                 2.1983,                  1.735,              0.0010707,              0.0010707,              0.0010707
                     14,                 1.0607,                  1.443,                  1.367,                0.47961,                0.47089,                0.45699,                0.28906,                 1.4513,                 2.0514,                 1.8145,               0.001067,               0.001067,               0.001067
                     15,                 1.0192,                 1.3615,                 1.3182,                0.41846,                0.40823,                0.40807,                0.28627,                 1.3615,                 2.0362,                 1.6967,              0.0010633,              0.0010633,              0.0010633
                     16,                 1.0422,                 1.3493,                 1.3271,                0.48668,                0.45096,                0.43368,                0.28568,                 1.2855,                 1.9965,                 1.6607,              0.0010597,              0.0010597,              0.0010597
                     17,                 1.0238,                 1.3407,                 1.3418,                0.44799,                0.48914,                0.45076,                0.29266,                 1.3277,                 1.9493,                 1.6881,               0.001056,               0.001056,               0.001056
                     18,                 1.0178,                 1.3073,                 1.3267,                0.47845,                0.45693,                0.47168,                0.29121,                  1.441,                 1.9699,                 1.7994,              0.0010523,              0.0010523,              0.0010523
                     19,                  1.008,                  1.284,                 1.3263,                 0.4575,                0.55086,                0.45719,                0.30898,                 1.3678,                 1.8971,                 1.6949,              0.0010487,              0.0010487,              0.0010487
                     20,                0.99193,                 1.2345,                  1.312,                0.44848,                0.47675,                0.45869,                0.31372,                 1.3572,                 1.8982,                 1.6866,               0.001045,               0.001045,               0.001045
                     21,                0.98119,                 1.2197,                 1.3032,                0.54964,                0.55682,                0.50963,                0.34847,                 1.3114,                 1.9196,                 1.6696,              0.0010413,              0.0010413,              0.0010413
                     22,                 1.0061,                 1.2165,                 1.3165,                0.55395,                 0.4931,                0.47565,                0.31103,                  1.335,                 1.9801,                 1.7228,              0.0010377,              0.0010377,              0.0010377
                     23,                 1.0052,                 1.2336,                 1.3217,                0.55967,                0.44896,                0.49278,                0.31888,                 1.4555,                 2.1163,                 1.8108,               0.001034,               0.001034,               0.001034
                     24,                0.97055,                 1.1704,                 1.3064,                0.59801,                0.44344,                0.48967,                0.34817,                 1.2938,                 1.8703,                 1.6787,              0.0010303,              0.0010303,              0.0010303
                     25,                0.95873,                 1.1344,                 1.2938,                 0.5167,                 0.3942,                 0.4176,                0.29052,                  1.361,                 1.9658,                 1.7391,              0.0010267,              0.0010267,              0.0010267
                     26,                0.95918,                 1.1275,                 1.2813,                0.55212,                0.51906,                0.49279,                 0.3332,                 1.3418,                 1.8885,                  1.662,               0.001023,               0.001023,               0.001023
                     27,                0.97302,                 1.1162,                 1.2923,                0.65259,                0.44403,                0.51772,                0.36277,                 1.2581,                 1.7626,                 1.6383,              0.0010193,              0.0010193,              0.0010193
                     28,                0.93476,                 1.1093,                 1.2725,                0.59036,                0.41429,                0.45497,                0.32529,                 1.3142,                 1.9952,                  1.684,              0.0010157,              0.0010157,              0.0010157
                     29,                 0.9129,                 1.0428,                 1.2661,                0.58167,                 0.5132,                0.52283,                0.36169,                 1.2688,                 1.7445,                 1.6117,               0.001012,               0.001012,               0.001012
                     30,                0.92693,                 1.0425,                 1.2611,                0.51945,                 0.4933,                0.49056,                0.32724,                 1.3464,                 1.9327,                 1.6899,              0.0010083,              0.0010083,              0.0010083
                     31,                0.89699,                 1.0415,                 1.2481,                0.57892,                0.44631,                0.48404,                 0.3312,                 1.3399,                 1.9013,                  1.711,              0.0010047,              0.0010047,              0.0010047
                     32,                0.90439,                 1.0141,                 1.2315,                0.56401,                0.42238,                0.46649,                0.31642,                 1.3045,                  1.959,                 1.6688,               0.001001,               0.001001,               0.001001
                     33,                 0.8928,                 1.0066,                 1.2341,                0.59604,                0.47778,                0.50152,                0.34626,                 1.3071,                 1.7848,                  1.666,             0.00099734,             0.00099734,             0.00099734
                     34,                0.87392,                0.94841,                 1.2264,                0.58649,                0.42151,                0.45443,                0.30848,                  1.452,                 2.0611,                 1.7874,             0.00099368,             0.00099368,             0.00099368
                     35,                0.89076,                0.97386,                  1.216,                0.58383,                0.47513,                0.48869,                0.33074,                  1.369,                 1.8607,                 1.7325,             0.00099001,             0.00099001,             0.00099001
                     36,                0.87129,                0.96195,                 1.2169,                0.54894,                0.47024,                0.47808,                0.33584,                 1.3269,                 1.8908,                  1.672,             0.00098635,             0.00098635,             0.00098635
                     37,                0.86871,                0.95137,                  1.228,                0.61123,                0.52731,                0.53089,                 0.3793,                 1.2333,                 1.7326,                 1.6214,             0.00098268,             0.00098268,             0.00098268
                     38,                0.85104,                0.93921,                 1.2046,                0.60345,                0.49228,                0.50475,                0.36918,                 1.2837,                 1.7083,                 1.6856,             0.00097901,             0.00097901,             0.00097901
