                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85659,                0.83604,                 1.2783,                0.96152,                0.99943,                0.99133,                0.81801,                0.68204,                 0.3307,                 1.1172,              0.0033145,              0.0033145,              0.0033145
                      2,                0.83912,                0.53193,                 1.2392,                0.92729,                   0.97,                0.96979,                0.78425,                0.68332,                0.50309,                 1.1353,              0.0066259,              0.0066259,              0.0066259
                      3,                0.88999,                0.59983,                  1.285,                 0.8513,                0.85872,                0.89639,                0.61019,                 1.0685,                0.88431,                 1.5499,              0.0099153,              0.0099153,              0.0099153
                      4,                0.93172,                0.67318,                 1.3023,                0.91369,                0.95278,                 0.9792,                0.76402,                0.80772,                 0.5783,                 1.2629,               0.009901,               0.009901,               0.009901
                      5,                0.90537,                0.63154,                 1.2934,                 0.9306,                   0.96,                0.96767,                0.78774,                 0.7196,                0.51196,                 1.1912,               0.009868,               0.009868,               0.009868
                      6,                0.89539,                0.59444,                 1.2667,                0.92498,                   0.94,                0.96829,                0.68402,                0.99818,                0.72428,                 1.4796,               0.009835,               0.009835,               0.009835
                      7,                0.84107,                0.56885,                 1.2544,                0.96991,                0.96705,                0.98709,                0.80426,                 0.7389,                0.44849,                 1.1813,               0.009802,               0.009802,               0.009802
                      8,                0.82182,                0.52019,                 1.2235,                0.95206,                      1,                0.98439,                0.85578,                0.61505,                0.40687,                 1.0862,               0.009769,               0.009769,               0.009769
                      9,                0.80792,                0.52268,                 1.2338,                 0.9513,                0.97674,                0.96863,                0.83022,                0.60895,                0.43251,                 1.1004,               0.009736,               0.009736,               0.009736
                     10,                0.76826,                0.51214,                 1.1819,                0.97934,                   0.98,                0.98459,                0.83656,                 0.6307,                0.39384,                 1.0993,               0.009703,               0.009703,               0.009703
                     11,                0.75583,                0.48879,                 1.1859,                0.97757,                   0.99,                0.99325,                0.87675,                0.54649,                0.34749,                 1.0391,                0.00967,                0.00967,                0.00967
                     12,                0.73953,                0.47714,                 1.1848,                0.96009,                0.96226,                0.98818,                0.86703,                0.53453,                0.38091,                  1.034,               0.009637,               0.009637,               0.009637
                     13,                0.72937,                0.44956,                 1.1658,                0.97904,                   0.99,                0.99392,                  0.868,                0.58697,                0.35111,                 1.0944,               0.009604,               0.009604,               0.009604
                     14,                 0.6949,                 0.4447,                 1.1447,                0.97046,                0.98545,                0.99005,                0.87625,                 0.5131,                0.33933,                 1.0097,               0.009571,               0.009571,               0.009571
